id,caption,media,credit,articles,media_file
1,Plaque dedicated to Smudge outside the People's Palace,https://workingclasshistory.com/wp-content/uploads/2022/11/1979-x-smudge-plaque.jpg,Delphine Dallison/Wikimedia Commons CC 3.0,Smudge employed,
2,"Railcar where the armistice was signed directly afterwards, with Admiral George Hope, front right and Ferdinand Foch to his left",https://workingclasshistory.com/wp-content/uploads/2022/11/11.11-x-Armisticetrain.jpg,Wikimedia Commons,Armistice Day,
3,"Ludwig III of Bavaria, c1916",https://workingclasshistory.com/wp-content/uploads/2022/11/11.07-x-Ludwig-King-of-Bavaria.jpg,Gustav Liersch/Wartenberg Trust/Wikimedia Commons,Bavarian king abdicates,
4,"The Indianapolis Traction and Terminal streetcar complex, 1906",https://workingclasshistory.com/wp-content/uploads/2022/11/10.31-x-Indianapolis_street-1024x809.jpg,Locomotive Firemans Magazine/Wikimedia Commons,Indianapolis streetcar strike,01.01 Zapatista's.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/tYBh99ttnchWtSc1pajzDTGChHlrb7iH_c2ab46ff17ddb478b2e0033627dccad923ebda731526074514c92e6d6da3dad9.png)
5,"The site where the massacre took place, 2022",https://workingclasshistory.com/wp-content/uploads/2022/09/04.07-Modena-massacre-2-1024x577.jpg,Working Class History,Modena massacre,
6,Map indicating the area in which the founding meeting of the union took place,https://workingclasshistory.com/wp-content/uploads/2023/08/05.24-x-Japan-libertarian-Federation-labour-unions-map-1024x785.jpg,WCH/Mapbox/OpenStreetMap,Zenkoku Jiren founded,
7,Map indicating the area which contained the former Kempeitai headquarters where they were killed,https://workingclasshistory.com/wp-content/uploads/2023/08/09.16-Ito-noe-osugi-murder-map.jpg,WCH/Mapbox/OpenStreetMap,Itō Noe and Osugi Sakae murdered,
8,"Bomb damage in the records office, March 1943",https://workingclasshistory.com/wp-content/uploads/2023/08/03.27-x-Amsterdam-records-office-bomb-damage.jpg,Nationaal Archief/Wikimedia Commons,Amsterdam population registry destroyed,
9,Map indicating the area in which the Tianyi office was located,https://workingclasshistory.com/wp-content/uploads/2023/08/06.10-x-tianyi-office-map-1024x622.jpg,WCH/Mapbox/OpenStreetMap,Tianyi first published,
10,Original Balfour declaration letter,https://workingclasshistory.com/wp-content/uploads/2023/10/11.02-x-Balfour_declaration_unmarked-778x1024.jpg,British Library,Balfour declaration,
12,The scene after the bombing,https://workingclasshistory.com/wp-content/uploads/2024/05/05.28-x-Piazza_della_Loggia_massacre_Brescia.jpg,Senza Soste,Piazza della Loggia bombing,
13,"Strike supporters in New York distributing pro-strike materials, likely during this streetcar strike",https://workingclasshistory.com/wp-content/uploads/2024/07/1916-x-tram-strike-supporters.jpg,Bain News Service/Library of Congress,New York transport strike,
